run_id,trainable_scope,optimizer_name,learning_rate,batch_size,dropout,epochs,target_accuracy,epochs_run,reached_target,final_eval_loss,final_train_accuracy,best_eval_accuracy,trainable_parameters,train_seconds,seconds_per_epoch
1,fc2_only,sgd,0.01,5,0.5,40,1.0,5,True,0.3572700619697571,0.8148148148148148,1.0,153,0.5188995999997132,0.10377991999994265
2,fc1_fc2,sgd,0.01,5,0.5,40,1.0,3,True,0.12183011323213577,0.7777777777777778,1.0,16203,0.2525351999938721,0.08417839999795736
3,conv2_fc,sgd,0.01,5,0.5,40,1.0,4,True,0.14430616796016693,0.8888888888888888,1.0,21223,0.7895465999972657,0.19738664999931643
4,fc2_only,adam,0.01,5,0.5,40,1.0,5,True,0.23429878056049347,1.0,1.0,153,0.4079356000002008,0.08158712000004016
5,fc2_only,sgd,0.001,5,0.5,40,1.0,40,False,0.3940219283103943,0.9629629629629629,0.9629629629629629,153,3.2210896000033244,0.08052724000008311
6,fc2_only,sgd,0.05,5,0.5,40,1.0,6,True,0.06423290818929672,1.0,1.0,153,0.4853249000007054,0.0808874833334509
7,fc2_only,sgd,0.1,5,0.5,40,1.0,4,True,0.03614792600274086,0.8148148148148148,1.0,153,0.3223827000038,0.08059567500095
8,fc2_only,sgd,0.01,3,0.5,40,1.0,7,True,0.19983822107315063,0.9259259259259259,1.0,153,0.5995421999978134,0.08564888571397335
9,fc2_only,sgd,0.01,9,0.5,40,1.0,9,True,0.3311181366443634,0.9629629629629629,1.0,153,0.6856305999972392,0.07618117777747102
10,fc2_only,sgd,0.01,27,0.5,40,1.0,14,True,0.5394894480705261,0.9259259259259259,1.0,153,1.037057099994854,0.07407550714248957
11,fc2_only,sgd,0.01,5,0.0,40,1.0,4,True,0.38787439465522766,0.9629629629629629,1.0,153,0.3211749999973108,0.0802937499993277
12,fc2_only,sgd,0.01,5,0.25,40,1.0,6,True,0.27772393822669983,0.9259259259259259,1.0,153,0.51240510000207,0.08540085000034499
13,fc2_only,sgd,0.01,5,0.65,40,1.0,8,True,0.2704155743122101,0.8888888888888888,1.0,153,0.6425802999947337,0.0803225374993417
14,fc1_fc2,adam,0.1,5,0.25,40,1.0,3,True,0.0028330350760370493,0.9629629629629629,1.0,16203,0.2444178000005195,0.08147260000017316
15,conv2_fc,adam,0.01,3,0.65,40,1.0,40,False,1.098648190498352,0.3333333333333333,0.3333333333333333,21223,5.018571699998574,0.12546429249996435
16,fc1_fc2,sgd,0.001,3,0.65,40,1.0,5,True,0.5547691583633423,0.8888888888888888,1.0,16203,0.43044400000508176,0.08608880000101635
17,fc1_fc2,sgd,0.001,3,0.0,40,1.0,2,True,0.7096483707427979,0.8888888888888888,1.0,16203,0.1718678999968688,0.0859339499984344
18,fc2_only,sgd,0.01,3,0.65,40,1.0,9,True,0.1748778223991394,0.9629629629629629,1.0,153,0.7740695999964373,0.08600773333293749
19,fc1_fc2,adam,0.01,5,0.5,40,1.0,3,True,0.03666740283370018,0.8518518518518519,1.0,16203,0.25000659999932395,0.08333553333310799
20,fc1_fc2,sgd,0.001,27,0.5,40,1.0,40,True,0.587347149848938,0.8888888888888888,1.0,16203,2.8678434000030393,0.07169608500007599
21,fc1_fc2,sgd,0.05,9,0.25,40,1.0,3,True,0.19567295908927917,0.8148148148148148,1.0,16203,0.230278900002304,0.07675963333410134
22,conv2_fc,adam,0.001,3,0.0,40,1.0,2,True,0.10424618422985077,0.9629629629629629,1.0,21223,0.3128932999970857,0.15644664999854285
23,fc1_fc2,sgd,0.05,27,0.0,40,1.0,4,True,0.1777893751859665,0.9629629629629629,1.0,16203,0.2928775999971549,0.07321939999928873
24,fc1_fc2,adam,0.1,27,0.0,40,1.0,22,True,0.3206021785736084,0.6666666666666666,1.0,16203,1.6159461000061128,0.07345209545482331
25,conv2_fc,sgd,0.05,9,0.0,40,1.0,2,True,0.12015728652477264,0.8518518518518519,1.0,21223,0.5195919999969192,0.2597959999984596
26,fc1_fc2,adam,0.001,27,0.0,40,1.0,3,True,0.5247923135757446,0.9629629629629629,1.0,16203,0.21672129999933532,0.07224043333311177
27,fc2_only,sgd,0.001,3,0.0,40,1.0,12,True,0.6594129204750061,0.9259259259259259,1.0,153,1.0101333000056911,0.08417777500047426
28,fc1_fc2,adam,0.01,5,0.65,40,1.0,4,True,0.021577008068561554,0.8148148148148148,1.0,16203,0.3287158000021009,0.08217895000052522
29,conv2_fc,sgd,0.01,27,0.65,40,1.0,8,True,0.42480069398880005,0.8518518518518519,1.0,21223,1.1123022000028868,0.13903777500036085
30,fc2_only,adam,0.1,5,0.0,40,1.0,4,True,0.017246505245566368,0.9259259259259259,1.0,153,0.3246039000005112,0.0811509750001278
31,fc1_fc2,adam,0.001,5,0.25,40,1.0,3,True,0.27594876289367676,0.9629629629629629,1.0,16203,0.2474408999987645,0.08248029999958817
32,fc1_fc2,sgd,0.001,5,0.25,40,1.0,10,True,0.47593215107917786,1.0,1.0,16203,0.8214834000027622,0.08214834000027622
33,fc1_fc2,adam,0.001,9,0.5,40,1.0,3,True,0.4033941924571991,0.9629629629629629,1.0,16203,0.23242699999536853,0.07747566666512284
34,fc1_fc2,sgd,0.001,3,0.25,40,1.0,9,True,0.39017167687416077,0.9259259259259259,1.0,16203,0.7691875000018626,0.08546527777798474
35,conv2_fc,sgd,0.001,9,0.5,40,1.0,20,True,0.41284987330436707,0.9629629629629629,1.0,21223,3.5966492000006838,0.1798324600000342
36,conv2_fc,adam,0.01,27,0.25,40,1.0,8,True,0.08911272138357162,0.8518518518518519,1.0,21223,1.0678046000030008,0.1334755750003751
37,fc1_fc2,sgd,0.01,9,0.25,40,1.0,3,True,0.4084007143974304,0.9629629629629629,1.0,16203,0.2311286000040127,0.07704286666800424
38,conv2_fc,sgd,0.01,5,0.25,40,1.0,1,True,0.5578210949897766,0.4074074074074074,1.0,21223,0.19739420000405516,0.19739420000405516
39,conv2_fc,adam,0.1,3,0.65,40,1.0,40,False,1.1039280891418457,0.25925925925925924,0.3333333333333333,21223,4.778444099996705,0.11946110249991762
40,fc2_only,sgd,0.001,3,0.5,40,1.0,19,True,0.5181922316551208,0.8518518518518519,1.0,153,1.60125749999861,0.08427671052624264
41,fc2_only,adam,0.05,27,0.65,40,1.0,10,True,0.06626972556114197,0.9259259259259259,1.0,153,0.732387000003655,0.0732387000003655
42,fc1_fc2,sgd,0.05,5,0.25,40,1.0,5,True,0.009606176987290382,1.0,1.0,16203,0.41172059999371413,0.08234411999874283
43,conv2_fc,sgd,0.001,9,0.65,40,1.0,14,True,0.6788895726203918,0.9259259259259259,1.0,21223,2.460316299999249,0.17573687857137493
44,fc1_fc2,adam,0.01,3,0.5,40,1.0,2,True,0.058153796941041946,0.9259259259259259,1.0,16203,0.17843610000272747,0.08921805000136374
45,fc2_only,adam,0.05,5,0.0,40,1.0,4,True,0.04307487979531288,0.9629629629629629,1.0,153,0.31965739999577636,0.07991434999894409
46,fc2_only,adam,0.05,9,0.0,40,1.0,3,True,0.0850759893655777,0.8888888888888888,1.0,153,0.2285355999993044,0.07617853333310147
47,fc2_only,sgd,0.1,3,0.5,40,1.0,2,True,0.04710138589143753,0.8518518518518519,1.0,153,0.17035220000252593,0.08517610000126297
48,conv2_fc,adam,0.001,5,0.5,40,1.0,4,True,0.38399603962898254,0.8518518518518519,1.0,21223,0.7451127000022097,0.18627817500055244
49,fc1_fc2,sgd,0.1,3,0.65,40,1.0,40,False,1.0889787673950195,0.5185185185185185,0.8888888888888888,16203,3.4467939999958617,0.08616984999989655
50,fc2_only,adam,0.001,27,0.65,40,1.0,40,False,0.7151034474372864,0.7777777777777778,0.9259259259259259,153,2.9234144000001834,0.07308536000000458
51,conv2_fc,sgd,0.001,3,0.0,40,1.0,3,True,0.6309929490089417,0.8888888888888888,1.0,21223,0.44141250000393484,0.14713750000131162
52,conv2_fc,sgd,0.05,27,0.5,40,1.0,3,True,0.5026537775993347,0.8888888888888888,1.0,21223,0.3953611000033561,0.13178703333445205
53,conv2_fc,sgd,0.05,3,0.65,40,1.0,40,False,1.0986703634262085,0.25925925925925924,0.3333333333333333,21223,5.031108700000914,0.12577771750002284
54,fc2_only,sgd,0.001,27,0.65,40,1.0,40,False,0.8205627202987671,0.5555555555555556,0.8148148148148148,153,2.8958457999979146,0.07239614499994787
55,conv2_fc,sgd,0.01,9,0.65,40,1.0,2,True,0.45934078097343445,0.7037037037037037,1.0,21223,0.4529143000036129,0.22645715000180644
56,fc1_fc2,sgd,0.05,27,0.5,40,1.0,6,True,0.1699935346841812,0.9629629629629629,1.0,16203,0.44178870000177994,0.07363145000029665
57,fc2_only,adam,0.01,5,0.65,40,1.0,6,True,0.18378899991512299,1.0,1.0,153,0.48847379999642726,0.08141229999940454
58,fc2_only,adam,0.01,5,0.25,40,1.0,4,True,0.1791219860315323,0.8888888888888888,1.0,153,0.32615549999900395,0.08153887499975099
59,fc1_fc2,adam,0.001,3,0.5,40,1.0,3,True,0.2012193650007248,0.9629629629629629,1.0,16203,0.26368380000349134,0.08789460000116378
60,fc2_only,sgd,0.1,27,0.5,40,1.0,6,True,0.16039389371871948,0.9259259259259259,1.0,153,0.4334845000048517,0.07224741666747529
